id_transacao,valor,hora_transacao,categoria,metodo_pagamento,localizacao,fraude
99124,3043.89,2025-03-16 08:01:37,Compra Online,cartao_credito,Machado de Nascimento,0
36177,566.61,2025-03-16 17:55:50,Viagem,pix,Peixoto,0
28704,2190.29,2025-03-20 19:50:51,Compra Online,cartao_debito,Cavalcante de Sales,0
58074,2112.16,2025-03-16 08:27:14,Restaurante,pix,Porto da Serra,0
95467,4912.66,2025-03-18 16:52:13,Restaurante,cartao_debito,Câmara das Pedras,0
77724,540.01,2025-03-15 16:12:25,Restaurante,cartao_debito,Lima do Sul,0
21165,4249.27,2025-03-18 07:59:15,Restaurante,cartao_debito,Rezende de da Mota,0
70992,2990.88,2025-03-21 14:15:34,Supermercado,boleto,Nascimento,0
97478,3074.81,2025-03-22 11:52:13,Restaurante,cartao_debito,Silva,0
68836,888.28,2025-03-20 11:36:09,Restaurante,cartao_debito,Vargas,0
30027,2305.75,2025-03-20 23:44:45,Supermercado,cartao_debito,Costa do Campo,0
14097,290.47,2025-03-17 02:06:09,Compra Online,cartao_credito,Leão dos Dourados,0
80440,2957.54,2025-03-21 05:54:51,Viagem,pix,Campos Paulista,0
45190,3936.12,2025-03-22 04:35:43,Compra Online,pix,Brito,1
73303,2775.92,2025-03-21 02:39:24,Eletrônicos,cartao_credito,Caldeira de Silva,0
88840,1769.68,2025-03-19 07:51:46,Supermercado,cartao_credito,Siqueira da Mata,0
74092,3011.26,2025-03-18 04:18:42,Supermercado,cartao_debito,da Cruz do Amparo,0
19451,39.76,2025-03-22 09:50:50,Supermercado,cartao_debito,Nascimento,1
66803,3966.26,2025-03-22 12:16:03,Supermercado,boleto,Vargas dos Dourados,0
76832,2479.68,2025-03-17 11:01:38,Viagem,cartao_credito,Melo,0
41986,4242.88,2025-03-15 17:05:53,Supermercado,pix,Campos de Borges,0
57263,4090.48,2025-03-20 10:44:35,Supermercado,cartao_credito,Martins do Sul,0
86349,3315.93,2025-03-15 16:53:37,Supermercado,cartao_debito,Farias do Amparo,0
22660,1549.33,2025-03-17 05:22:40,Compra Online,cartao_debito,Lopes do Norte,0
19818,106.25,2025-03-18 17:41:56,Eletrônicos,cartao_credito,Cavalcanti das Pedras,0
92775,888.32,2025-03-17 09:45:12,Eletrônicos,pix,Ribeiro,0
11184,3781.54,2025-03-22 05:23:30,Eletrônicos,cartao_credito,da Mata do Campo,0
81396,524.01,2025-03-18 02:18:51,Compra Online,cartao_credito,Abreu,0
66141,1031.85,2025-03-17 18:49:38,Compra Online,cartao_credito,Santos,0
90197,274.63,2025-03-20 17:23:01,Compra Online,cartao_credito,Ferreira,0
83043,1731.54,2025-03-18 08:07:14,Restaurante,cartao_credito,da Costa,1
41723,4546.03,2025-03-17 16:00:00,Restaurante,cartao_debito,Rezende,0
11145,869.2,2025-03-19 06:02:56,Viagem,pix,Freitas de Rios,0
44890,4583.35,2025-03-18 12:11:43,Eletrônicos,cartao_credito,Porto do Galho,0
87332,3450.11,2025-03-19 01:02:45,Supermercado,cartao_debito,Teixeira de Marques,0
58286,3975.33,2025-03-21 19:57:35,Compra Online,cartao_debito,Albuquerque,0
18892,3758.05,2025-03-15 14:35:42,Viagem,cartao_debito,Nunes,0
15469,613.11,2025-03-22 01:45:27,Restaurante,boleto,da Luz do Campo,0
74213,2306.75,2025-03-21 14:46:49,Eletrônicos,cartao_debito,Pires da Praia,0
64634,4390.46,2025-03-17 13:43:36,Eletrônicos,boleto,Cavalcante de da Rocha,1
17252,2431.1,2025-03-19 15:27:48,Supermercado,cartao_debito,Viana,0
97183,4845.32,2025-03-19 21:53:40,Viagem,cartao_credito,Macedo,0
90640,3663.86,2025-03-18 04:50:16,Eletrônicos,boleto,Fogaça,0
93029,537.61,2025-03-16 17:47:40,Restaurante,cartao_debito,Aragão do Norte,0
38106,2837.7,2025-03-19 17:18:54,Compra Online,pix,Câmara Grande,0
20353,3440.89,2025-03-20 01:05:13,Viagem,pix,Cavalcanti Paulista,1
82177,522.59,2025-03-15 21:00:34,Restaurante,cartao_credito,Guerra,0
34699,1873.04,2025-03-21 18:06:37,Compra Online,cartao_debito,Abreu de da Luz,0
68743,3498.49,2025-03-17 20:18:31,Supermercado,cartao_credito,Araújo,0
57754,123.72,2025-03-21 14:40:28,Supermercado,boleto,Porto,0
