id_transacao,valor,hora_transacao,categoria,metodo_pagamento,localizacao
85770,396.44,2025-03-15 15:40:22,Supermercado,pix,Garcia das Pedras
85982,3794.81,2025-03-18 19:30:02,Restaurante,cartao_credito,Fernandes
75889,2158.56,2025-03-22 10:36:37,Compra Online,cartao_credito,Sousa
59062,2601.71,2025-03-20 07:59:16,Compra Online,cartao_credito,Borges
82236,911.68,2025-03-16 15:47:42,Compra Online,cartao_debito,Caldeira
46359,4225.8,2025-03-20 10:58:02,Supermercado,cartao_debito,Araújo
92813,2755.65,2025-03-21 11:30:26,Eletrônicos,cartao_credito,Cavalcanti
54256,4950.46,2025-03-20 17:25:21,Compra Online,pix,Silveira de Minas
59112,2835.74,2025-03-18 15:02:47,Supermercado,cartao_credito,Novaes
33401,3773.68,2025-03-16 08:31:01,Supermercado,cartao_debito,Nunes
16046,2834.73,2025-03-19 07:57:37,Compra Online,boleto,Melo da Prata
43866,4352.07,2025-03-18 05:41:20,Supermercado,cartao_debito,Santos das Flores
46615,1669.32,2025-03-16 07:34:29,Supermercado,cartao_debito,Guerra de Minas
15712,4738.26,2025-03-18 00:34:57,Compra Online,pix,Cavalcante
45874,1228.86,2025-03-19 16:33:31,Compra Online,cartao_credito,Araújo
47610,203.62,2025-03-22 07:20:38,Restaurante,cartao_debito,Mendes das Pedras
84007,3778.55,2025-03-16 23:55:46,Eletrônicos,cartao_credito,Ribeiro do Oeste
85335,44.84,2025-03-15 20:53:31,Supermercado,cartao_debito,Fonseca
95734,225.12,2025-03-18 03:42:57,Supermercado,cartao_debito,Moreira
60645,2334.77,2025-03-16 16:53:35,Restaurante,cartao_debito,Nascimento de Alves
17865,2588.44,2025-03-18 10:29:34,Supermercado,cartao_debito,Silveira da Mata
58718,4526.08,2025-03-20 17:04:30,Viagem,cartao_debito,Castro do Sul
85527,1737.08,2025-03-20 01:53:03,Compra Online,cartao_debito,da Mata
25745,3736.15,2025-03-21 02:30:33,Eletrônicos,cartao_debito,Mendes
94516,4763.03,2025-03-18 06:02:01,Supermercado,cartao_credito,Siqueira do Amparo
64740,684.42,2025-03-18 08:39:45,Compra Online,cartao_credito,Marques da Mata
54579,2848.62,2025-03-16 20:57:59,Supermercado,cartao_credito,Porto
92710,3143.33,2025-03-15 19:01:42,Supermercado,pix,Rezende de Nogueira
28879,4104.82,2025-03-17 00:24:45,Eletrônicos,cartao_debito,Cassiano
80151,2299.23,2025-03-16 00:35:19,Restaurante,cartao_credito,Cardoso de Pires
77649,1554.37,2025-03-22 05:22:20,Restaurante,cartao_credito,Marques
10954,339.97,2025-03-17 04:59:46,Compra Online,cartao_debito,Sá
42737,2355.93,2025-03-19 11:09:35,Restaurante,cartao_credito,Moraes do Galho
58508,4742.5,2025-03-16 15:23:04,Restaurante,cartao_credito,da Mota das Flores
43465,4312.44,2025-03-21 14:11:16,Supermercado,cartao_debito,Garcia
42032,1111.59,2025-03-21 19:41:52,Eletrônicos,boleto,Rodrigues
61229,1915.96,2025-03-22 04:50:16,Restaurante,boleto,Cavalcante
69007,2780.31,2025-03-17 04:43:51,Restaurante,cartao_debito,Albuquerque
17031,2199.17,2025-03-16 00:16:06,Supermercado,boleto,Pimenta
91531,4711.05,2025-03-18 01:11:43,Eletrônicos,boleto,Moraes de da Rocha
62928,2885.12,2025-03-20 12:33:29,Supermercado,cartao_credito,Monteiro de Siqueira
37267,1589.29,2025-03-19 17:46:57,Viagem,cartao_debito,Dias
34445,4116.97,2025-03-16 20:24:52,Compra Online,cartao_debito,Costa
76857,3164.1,2025-03-19 04:02:14,Restaurante,cartao_credito,Moreira da Serra
48916,645.32,2025-03-20 06:53:42,Supermercado,cartao_debito,Cavalcante
24518,4825.04,2025-03-17 15:14:53,Viagem,pix,Duarte da Serra
23734,4638.82,2025-03-17 14:52:25,Viagem,pix,Mendonça
84385,186.7,2025-03-17 21:19:23,Restaurante,cartao_credito,Pinto do Sul
15728,2982.35,2025-03-16 06:38:34,Supermercado,cartao_credito,Jesus de Gomes
13819,3731.84,2025-03-21 20:07:01,Supermercado,cartao_credito,Nogueira do Campo
